Tidaholms MK,2024,#,Namn,Klubb,Unnamed: 5,Seeding
,,106,Hampus Andersson,Tibro MK,,1
,,141,William Brehag Von Haugwitz,Carlsborgs MK,,2
,,962,Jonas Bergqvist,Skene MS,,3
,,900,Hans Torsborn,Ulricehamns MK,,4
,,985,Joakim Ericsson,Töreboda MK,,5
,,547,Felix Johansson,Kinds MK,,6
,,924,Sebastian Carlsson,SMK Vadstena,,7
,,102,Liam Qvist,Åbågen MCK,,8
,,903,Björn Bäckström,MK Ran,,9
,,912,Lars-Olof Lindström,FMCK Borås,,10
,,103,Anton Magnusson,Norrahammars MK,,11
,,530,Patrik Olsson,Lilla Edets MCK,,12
,,929,Daniel Lundqvist,Töreboda MK,,13
,,556,Tommy Gustafsson,Huskvarna MK,,14
,,1006,Anton Bernhardsson,Kortedala MK,,15
,,511,Dennis Ring,FMCK Borås,,16
,,504,Christer Strand,Tibro MK,,17
,,503,Christopher Skansen,Kinds MK,,18
,,550,Eric Gustafsson,SMK Vingåker,,19
,,509,Hugo Lindström,FMCK Borås,,20
,,120,Albin Glansén,Tidaholms MK,,21
,,517,Patric Gustafsson,Huskvarna MK,,22
,,906,Anders Billestedt Andersson,Stenungsunds MS,,23
,,911,Robert Ahlin,Falköpings MK,,24
,,974,Jonas Svensson,Hallsbergs MK,,25
,,914,Niklas Utterberg,Norrahammars MK,,26
,,113,Benjamin Bengtsson,Falköpings MK,,27
,,990,Johan Kjellson,FMCK Skövde,,28
,,971,Jonas Gustafsson,Götene MK,,29
,,920,Christoffer Johnsson,Hisingens MK,,30
,,510,Simon Gustafsson,Älvbygdens MK,,31
,,513,Niklas Kedén,Hjo MK,,32
,,915,Martin Jonsson,Töreboda MK,,33
,,121,William Larsson,FMCK Skövde,,34
,,104,Lisa Nyqvist,Stenungsunds MS,,35
,,913,Daniel Blomqvist,FMCK Skövde,,36
,,902,Peter Berggren,BMK Uddevalla,,37
,,508,Maria Thomsen,FMCK Borås,,38
,,999,Johan Törnqvist,FMCK Skövde,,39
,,590,Tobias Hagelin,FMCK Borås,,40
,,922,Mikael Sahlin,Lidköpings MCK,,41
,,585,Ludvig Bernhardsson,Kortedala MK,,42
,,502,Marwin Wik,Skene MS,,43
,,998,Andreas Sandberg,FMCK Borås,,44
,,199,William Blom,Skene MS,,45
,,594,Anton Torgin,Donkelo RK,,46
,,908,Johan Alexandersson,Götene MK,,47
,,921,Mattias Roslund,Försvarsmaktens EK,,48
,,176,Leo Revelj,BMK Uddevalla,,49
,,163,Erik Frisagård,Getinge MK,,50
,,978,Kim Dubriang,Limhamns MK,,51
,,966,Jimmy Andersson,Stenungsunds MS,,52
,,905,Per Norlander,Kullings MS,,53
,,945,Markus Björklund,Hjo MK,,54
,,186,Felix Johansson,Skene MS,,55
,,501,Robert Hjalmarsson,MK Pionjär,,56
,,937,David Rudhem,Lidköpings MCK,,57
,,757,Simon Karlsson,Stenungsunds MS,,58
,,622,Oscar Kalliomäki Berg,Lilla Edets MCK,,59
,,934,Johan Karlsson,Älvbygdens MK,,60
,,505,Viktor Blom,Skene MS,,61
,,506,Robert Stafsing,Varbergs MK,,62
,,917,Fredrik Hassesjö,Kullings MS,,63
,,931,Andreas Leth,Älvbygdens MK,,64
,,927,Mikael Dalåsen,SMK Trollhättan,,65
,,973,Ola Daniel Strandvad,Viking,,66
